category,value,series,district,area,month
Red Light,30.0,Officer issued red light,Auckland,Auckland West Area,2012-11-01
Red Light,30.0,Officer issued red light,Auckland,Auckland West Area,2012-12-01
Red Light,20.0,Officer issued red light,Auckland,Auckland West Area,2013-01-01
Red Light,23.0,Officer issued red light,Auckland,Auckland West Area,2013-02-01
Red Light,25.0,Officer issued red light,Auckland,Auckland West Area,2013-03-01
Red Light,40.0,Officer issued red light,Auckland,Auckland West Area,2013-04-01
Red Light,36.0,Officer issued red light,Auckland,Auckland West Area,2013-05-01
Red Light,41.0,Officer issued red light,Auckland,Auckland West Area,2013-06-01
Red Light,33.0,Officer issued red light,Auckland,Auckland West Area,2013-07-01
Red Light,44.0,Officer issued red light,Auckland,Auckland West Area,2013-08-01
Red Light,49.0,Officer issued red light,Auckland,Auckland West Area,2013-09-01
Red Light,35.0,Officer issued red light,Auckland,Auckland West Area,2013-10-01
Red Light,63.0,Officer issued red light,Auckland,Auckland West Area,2013-11-01
Red Light,60.0,Officer issued red light,Auckland,Auckland West Area,2013-12-01
Red Light,38.0,Officer issued red light,Auckland,Auckland West Area,2014-01-01
Red Light,39.0,Officer issued red light,Auckland,Auckland West Area,2014-02-01
Red Light,76.0,Officer issued red light,Auckland,Auckland West Area,2014-03-01
Red Light,37.0,Officer issued red light,Auckland,Auckland West Area,2014-04-01
Red Light,62.0,Officer issued red light,Auckland,Auckland West Area,2014-05-01
Red Light,36.0,Officer issued red light,Auckland,Auckland West Area,2014-06-01
Red Light,42.0,Officer issued red light,Auckland,Auckland West Area,2014-07-01
Red Light,51.0,Officer issued red light,Auckland,Auckland West Area,2014-08-01
Red Light,33.0,Officer issued red light,Auckland,Auckland West Area,2014-09-01
Red Light,47.0,Officer issued red light,Auckland,Auckland West Area,2014-10-01
Red Light,86.0,Officer issued red light,Auckland,Auckland West Area,2014-11-01
Red Light,66.0,Officer issued red light,Auckland,Auckland West Area,2014-12-01
Red Light,51.0,Officer issued red light,Auckland,Auckland West Area,2015-01-01
Red Light,52.0,Officer issued red light,Auckland,Auckland West Area,2015-02-01
Red Light,49.0,Officer issued red light,Auckland,Auckland West Area,2015-03-01
Red Light,43.0,Officer issued red light,Auckland,Auckland West Area,2015-04-01
Red Light,45.0,Officer issued red light,Auckland,Auckland West Area,2015-05-01
Red Light,45.0,Officer issued red light,Auckland,Auckland West Area,2015-06-01
Red Light,60.0,Officer issued red light,Auckland,Auckland West Area,2015-07-01
Red Light,57.0,Officer issued red light,Auckland,Auckland West Area,2015-08-01
Red Light,64.0,Officer issued red light,Auckland,Auckland West Area,2015-09-01
Red Light,43.0,Officer issued red light,Auckland,Auckland West Area,2015-10-01
Red Light,36.0,Officer issued red light,Auckland,Auckland West Area,2015-11-01
Red Light,46.0,Officer issued red light,Auckland,Auckland West Area,2015-12-01
Red Light,45.0,Officer issued red light,Auckland,Auckland West Area,2016-01-01
Red Light,55.0,Officer issued red light,Auckland,Auckland West Area,2016-02-01
Red Light,62.0,Officer issued red light,Auckland,Auckland West Area,2016-03-01
Red Light,48.0,Officer issued red light,Auckland,Auckland West Area,2016-04-01
Red Light,54.0,Officer issued red light,Auckland,Auckland West Area,2016-05-01
Red Light,57.0,Officer issued red light,Auckland,Auckland West Area,2016-06-01
Red Light,79.0,Officer issued red light,Auckland,Auckland West Area,2016-07-01
Red Light,73.0,Officer issued red light,Auckland,Auckland West Area,2016-08-01
