value,district,month
45.0,Counties/Manukau,2016-01-01
34.0,Counties/Manukau,2016-02-01
45.0,Counties/Manukau,2016-03-01
42.0,Counties/Manukau,2016-04-01
40.0,Counties/Manukau,2016-05-01
29.0,Counties/Manukau,2016-06-01
39.0,Counties/Manukau,2016-07-01
47.0,Counties/Manukau,2016-08-01
43.0,Counties/Manukau,2016-09-01
10.0,Eastern,2009-01-01
13.0,Eastern,2009-02-01
8.0,Eastern,2009-03-01
9.0,Eastern,2009-04-01
12.0,Eastern,2009-05-01
6.0,Eastern,2009-06-01
8.0,Eastern,2009-07-01
17.0,Eastern,2009-08-01
13.0,Eastern,2009-09-01
11.0,Eastern,2009-10-01
7.0,Eastern,2009-11-01
5.0,Eastern,2009-12-01
11.0,Eastern,2010-01-01
7.0,Eastern,2010-02-01
14.0,Eastern,2010-03-01
7.0,Eastern,2010-04-01
13.0,Eastern,2010-05-01
7.0,Eastern,2010-06-01
10.0,Eastern,2010-07-01
8.0,Eastern,2010-08-01
9.0,Eastern,2010-09-01
14.0,Eastern,2010-10-01
10.0,Eastern,2010-11-01
12.0,Eastern,2010-12-01
8.0,Eastern,2011-01-01
12.0,Eastern,2011-02-01
11.0,Eastern,2011-03-01
12.0,Eastern,2011-04-01
6.0,Eastern,2011-05-01
6.0,Eastern,2011-06-01
9.0,Eastern,2011-07-01
7.0,Eastern,2011-08-01
9.0,Eastern,2011-09-01
8.0,Eastern,2011-10-01
10.0,Eastern,2011-11-01
13.0,Eastern,2011-12-01
4.0,Eastern,2012-01-01
11.0,Eastern,2012-02-01
9.0,Eastern,2012-03-01
8.0,Eastern,2012-04-01
7.0,Eastern,2012-05-01
12.0,Eastern,2012-06-01
8.0,Eastern,2012-07-01
7.0,Eastern,2012-08-01
16.0,Eastern,2012-09-01
14.0,Eastern,2012-10-01
8.0,Eastern,2012-11-01
12.0,Eastern,2012-12-01
13.0,Eastern,2013-01-01
10.0,Eastern,2013-02-01
4.0,Eastern,2013-03-01
11.0,Eastern,2013-04-01
10.0,Eastern,2013-05-01
6.0,Eastern,2013-06-01
11.0,Eastern,2013-07-01
6.0,Eastern,2013-08-01
12.0,Eastern,2013-09-01
4.0,Eastern,2013-10-01
11.0,Eastern,2013-11-01
2.0,Eastern,2013-12-01
8.0,Eastern,2014-01-01
7.0,Eastern,2014-02-01
7.0,Eastern,2014-03-01
7.0,Eastern,2014-04-01
8.0,Eastern,2014-05-01
7.0,Eastern,2014-06-01
17.0,Eastern,2014-07-01
10.0,Eastern,2014-08-01
8.0,Eastern,2014-09-01
13.0,Eastern,2014-10-01
9.0,Eastern,2014-11-01
12.0,Eastern,2014-12-01
13.0,Eastern,2015-01-01
13.0,Eastern,2015-02-01
9.0,Eastern,2015-03-01
9.0,Eastern,2015-04-01
8.0,Eastern,2015-05-01
10.0,Eastern,2015-06-01
6.0,Eastern,2015-07-01
13.0,Eastern,2015-08-01
22.0,Eastern,2015-09-01
13.0,Eastern,2015-10-01
11.0,Eastern,2015-11-01
14.0,Eastern,2015-12-01
18.0,Eastern,2016-01-01
13.0,Eastern,2016-02-01
15.0,Eastern,2016-03-01
10.0,Eastern,2016-04-01
16.0,Eastern,2016-05-01
13.0,Eastern,2016-06-01
15.0,Eastern,2016-07-01
15.0,Eastern,2016-08-01
11.0,Eastern,2016-09-01
11.0,Northland,2009-01-01
13.0,Northland,2009-02-01
4.0,Northland,2009-03-01
10.0,Northland,2009-04-01
10.0,Northland,2009-05-01
7.0,Northland,2009-06-01
7.0,Northland,2009-07-01
15.0,Northland,2009-08-01
13.0,Northland,2009-09-01
9.0,Northland,2009-10-01
12.0,Northland,2009-11-01
14.0,Northland,2009-12-01
18.0,Northland,2010-01-01
8.0,Northland,2010-02-01
10.0,Northland,2010-03-01
14.0,Northland,2010-04-01
8.0,Northland,2010-05-01
16.0,Northland,2010-06-01
7.0,Northland,2010-07-01
10.0,Northland,2010-08-01
17.0,Northland,2010-09-01
10.0,Northland,2010-10-01
12.0,Northland,2010-11-01
15.0,Northland,2010-12-01
8.0,Northland,2011-01-01
6.0,Northland,2011-02-01
8.0,Northland,2011-03-01
11.0,Northland,2011-04-01
10.0,Northland,2011-05-01
11.0,Northland,2011-06-01
9.0,Northland,2011-07-01
8.0,Northland,2011-08-01
5.0,Northland,2011-09-01
14.0,Northland,2011-10-01
5.0,Northland,2011-11-01
12.0,Northland,2011-12-01
4.0,Northland,2012-01-01
8.0,Northland,2012-02-01
6.0,Northland,2012-03-01
18.0,Northland,2012-04-01
6.0,Northland,2012-05-01
12.0,Northland,2012-06-01
7.0,Northland,2012-07-01
13.0,Northland,2012-08-01
8.0,Northland,2012-09-01
9.0,Northland,2012-10-01
7.0,Northland,2012-11-01
13.0,Northland,2012-12-01
8.0,Northland,2013-01-01
8.0,Northland,2013-02-01
10.0,Northland,2013-03-01
10.0,Northland,2013-04-01
8.0,Northland,2013-05-01
8.0,Northland,2013-06-01
5.0,Northland,2013-07-01
11.0,Northland,2013-08-01
9.0,Northland,2013-09-01
6.0,Northland,2013-10-01
8.0,Northland,2013-11-01
12.0,Northland,2013-12-01
10.0,Northland,2014-01-01
8.0,Northland,2014-02-01
5.0,Northland,2014-03-01
15.0,Northland,2014-04-01
14.0,Northland,2014-05-01
7.0,Northland,2014-06-01
12.0,Northland,2014-07-01
10.0,Northland,2014-08-01
5.0,Northland,2014-09-01
15.0,Northland,2014-10-01
7.0,Northland,2014-11-01
11.0,Northland,2014-12-01
18.0,Northland,2015-01-01
7.0,Northland,2015-02-01
16.0,Northland,2015-03-01
15.0,Northland,2015-04-01
14.0,Northland,2015-05-01
14.0,Northland,2015-06-01
8.0,Northland,2015-07-01
19.0,Northland,2015-08-01
8.0,Northland,2015-09-01
11.0,Northland,2015-10-01
20.0,Northland,2015-11-01
19.0,Northland,2015-12-01
18.0,Northland,2016-01-01
17.0,Northland,2016-02-01
18.0,Northland,2016-03-01
17.0,Northland,2016-04-01
8.0,Northland,2016-05-01
14.0,Northland,2016-06-01
15.0,Northland,2016-07-01
21.0,Northland,2016-08-01
19.0,Northland,2016-09-01
5.0,Southern,2009-01-01
12.0,Southern,2009-02-01
15.0,Southern,2009-03-01
7.0,Southern,2009-04-01
9.0,Southern,2009-05-01
16.0,Southern,2009-06-01
6.0,Southern,2009-07-01
12.0,Southern,2009-08-01
14.0,Southern,2009-09-01
11.0,Southern,2009-10-01
12.0,Southern,2009-11-01
5.0,Southern,2009-12-01
9.0,Southern,2010-01-01
8.0,Southern,2010-02-01
8.0,Southern,2010-03-01
6.0,Southern,2010-04-01
12.0,Southern,2010-05-01
14.0,Southern,2010-06-01
11.0,Southern,2010-07-01
6.0,Southern,2010-08-01
10.0,Southern,2010-09-01
9.0,Southern,2010-10-01
13.0,Southern,2010-11-01
6.0,Southern,2010-12-01
10.0,Southern,2011-01-01
4.0,Southern,2011-02-01
8.0,Southern,2011-03-01
8.0,Southern,2011-04-01
14.0,Southern,2011-05-01
7.0,Southern,2011-06-01
11.0,Southern,2011-07-01
14.0,Southern,2011-08-01
16.0,Southern,2011-09-01
9.0,Southern,2011-10-01
9.0,Southern,2011-11-01
10.0,Southern,2011-12-01
15.0,Southern,2012-01-01
